# 200273d6-cf29-42db-928f-66b77a822107
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
275.8210904; 89661.0999522; 43161.1209778; -0.8238038; 0.1867651; 6.8502853; -3.8893046
276.8204421; 89661.7366695; 43161.8257375; -0.6541878; 0.1394405; 6.2572231; -0.5003706
277.8197939; 89662.3210799; 43162.6812972; -0.5575607; 0.0653808; 6.1767911; 3.7124354
278.8191457; 89662.8137022; 43163.5272962; -0.4976845; 0.0610094; 6.7507634; 4.0420932
279.8184975; 89663.2824559; 43164.4647321; -0.4267362; 0.0779801; 7.3247357; 1.0853652
280.8178493; 89663.6830302; 43165.4728576; -0.3270204; 0.0834734; 7.4713503; -5.1475705
281.8172010; 89664.0010930; 43166.5174608; -0.2808961; -0.0107160; 6.7477854; -4.6236848
282.8165528; 89664.2808050; 43167.3894346; -0.3742402; -0.2457529; 6.0242205; -2.4510946
283.8159046; 89664.7447149; 43168.1413941; -0.7755330; -0.5142723; 5.6028762; -1.5606075
284.8152564; 89665.5536306; 43168.7170379; -1.0494150; -0.0672873; 5.3172389; -0.4777981
285.8146081; 89666.4056798; 43169.1899472; -1.0762117; -0.0285272; 5.2266675; -0.2232979
286.8139599; 89667.3192143; 43169.6623663; -1.1138751; -0.0463815; 5.1837965; -0.2214588
287.8133117; 89668.2644601; 43170.0929309; -1.1798305; -0.0875944; 5.1409256; 1.9480489
288.8126635; 89669.2700577; 43170.4398011; -1.3103408; -0.1608547; 5.5066041; 2.3057729
289.8120152; 89670.2261204; 43170.6041698; -1.5020309; -0.2292290; 5.9102661; 2.6926422
290.8113670; 89671.1519349; 43170.5653417; -1.7245850; -0.2374172; 6.3492549; 3.2663153
291.8107188; 89672.0696371; 43170.3199306; -1.9329912; -0.1963215; 6.8440802; 3.5113262
292.8100706; 89673.0112278; 43169.8587809; -2.1097977; -0.1416183; 7.3389055; 2.8686954
293.8094224; 89673.8345854; 43169.2948392; -2.2230388; -0.0862196; 7.7196636; 2.7361224
294.8087741; 89674.6143365; 43168.6514272; -2.2933862; -0.0565236; 8.0660959; 2.8562156
295.8081259; 89675.3628869; 43167.9562492; -2.3425093; -0.0411958; 8.4125283; 2.8379308
296.8074777; 89676.0852876; 43167.2244379; -2.3837818; -0.0463642; 8.7431581; 2.8091555
297.8068295; 89676.7592997; 43166.4731152; -2.4401211; -0.0648897; 9.0585586; 2.9086975
298.8061812; 89677.3608660; 43165.7101112; -2.5097231; -0.0767379; 9.3739590; 2.7199395
299.8055330; 89677.9000609; 43164.9126170; -2.5841140; -0.0751892; 9.6595787; 2.5737175
300.8048848; 89678.3887214; 43164.0627183; -2.6541741; -0.0673615; 9.9222759; 2.6427720
301.8042366; 89678.8358051; 43163.1482092; -2.7179749; -0.0578697; 10.1849731; 1.7480492
302.8035883; 89679.2279801; 43162.2088988; -2.7735640; -0.0541763; 10.3550716; 1.0508098
303.8029401; 89679.5648223; 43161.2562566; -2.8309663; -0.0606039; 10.4559919; 1.0610013
304.8022919; 89679.8408677; 43160.2893729; -2.8984708; -0.0753429; 10.5569121; -0.3523489
305.8016437; 89680.0430054; 43159.2972560; -2.9865331; -0.0961453; 10.5235047; -3.1807950
306.8009954; 89680.1494895; 43158.2663058; -3.0932475; -0.1102814; 10.2169803; -3.0867768
307.8003472; 89680.1418211; 43157.2941591; 3.0747053; -0.1273605; 9.9104558; -3.6079005
308.7996990; 89680.0148137; 43156.3349749; 2.9426518; -0.1420865; 9.5397070; -4.1201031
309.7990508; 89679.7527174; 43155.3817703; 2.8060198; -0.1291653; 9.0978649; -3.9247520
310.7984026; 89679.3678686; 43154.4583111; 2.6934237; -0.0937318; 8.6560228; -1.2131426
311.7977543; 89678.9110972; 43153.6076542; 2.6037187; -0.0947557; 8.5148117; -1.0457653
312.7971061; 89678.3559319; 43152.7719232; 2.5057545; -0.1007413; 8.3911765; -0.9798512
313.7964579; 89677.7043964; 43151.9804057; 2.3991274; -0.1037662; 8.2736576; -0.7379295
314.7958097; 89677.0005330; 43151.2850670; 2.3031202; -0.0913485; 8.1840399; -0.7298929
315.7951614; 89676.2238501; 43150.6470096; 2.2150100; -0.0848270; 8.0944221; -0.1190769
316.7945132; 89675.3880725; 43150.0731859; 2.1303993; -0.0803129; 8.0797073; 2.4256064
317.7938650; 89674.4984495; 43149.5628404; 2.0551076; -0.0671194; 8.3743500; 2.5124770
318.7932168; 89673.6023074; 43149.1271164; 1.9931899; -0.0576231; 8.6689927; 2.3569348
319.7925685; 89672.6911485; 43148.7471630; 1.9390211; -0.0560387; 8.9365680; 1.8304650
320.7919203; 89671.7312882; 43148.4096933; 1.8773014; -0.0644300; 9.1389718; 1.8714588
321.7912721; 89670.7961313; 43148.1461861; 1.8133894; -0.0657289; 9.3413755; 1.5754825
322.7906239; 89669.8619495; 43147.9461187; 1.7494848; -0.0683854; 9.5084288; 1.5026732
323.7899757; 89668.8847067; 43147.8027459; 1.6847255; -0.0608090; 9.6650720; -0.1966962
324.7893274; 89667.8635185; 43147.7154675; 1.6307805; -0.0372851; 9.6447125; -5.4810676
325.7886792; 89666.9046946; 43147.6684544; 1.6149195; 0.0012833; 9.0589983; -5.1377839
326.7880310; 89665.8893700; 43147.6176824; 1.6314845; 0.0302447; 8.4732841; -4.4741020
327.7873828; 89664.8482053; 43147.5330306; 1.6767548; 0.0536010; 7.9280603; -2.4565033
328.7867345; 89663.8360156; 43147.3961722; 1.7349366; 0.0613149; 7.6121165; -2.3566181
329.7860863; 89662.8481978; 43147.1988530; 1.8034592; 0.0762111; 7.2961728; -2.2567329
330.7854381; 89661.9148244; 43146.9373078; 1.8887301; 0.1022501; 6.9802290; -1.2508156
331.7847899; 89660.9269448; 43146.5471765; 2.0087110; 0.1237180; 6.7987931; -1.1592953
332.7841416; 89660.0587041; 43146.0689480; 2.1444122; 0.1516922; 6.6261980; -0.7675331
333.7834934; 89659.3096258; 43145.4987429; 2.3043819; 0.1882520; 6.5094108; 0.5420072
334.7828452; 89658.6464114; 43144.7756880; 2.4940036; 0.1864196; 6.5920968; 0.5488487
335.7821970; 89658.1116439; 43143.9265070; 2.6556389; 0.1306285; 6.6747829; 2.1400499
336.7815488; 89657.7110052; 43143.0555582; 2.7593275; 0.0919834; 6.9878503; 2.5710472
337.7809005; 89657.3770644; 43142.1107657; 2.8413766; 0.0739673; 7.3463469; 2.6931975
338.7802523; 89657.1051847; 43141.1023684; 2.9136921; 0.0655276; 7.7040065; 2.6692365
339.7796041; 89656.9116177; 43140.1345101; 2.9729767; 0.0549766; 8.0428060; 2.7840961
340.7789559; 89656.7692908; 43139.1431403; 3.0235976; 0.0464155; 8.3816055; 2.8949321
341.7783076; 89656.6726886; 43138.1376858; 3.0668500; 0.0394338; 8.7199440; 2.4572839
342.7776594; 89656.6160731; 43137.1404478; 3.1012583; 0.0294990; 8.9971554; 2.5341799
343.7770112; 89656.5888654; 43136.1409274; 3.1258795; 0.0197800; 9.2743668; 2.6110759
344.7763630; 89656.5814417; 43135.1416264; 3.1408517; 0.0101914; 9.5515782; -2.0498293
345.7757147; 89656.5839208; 43134.1339159; -3.1379439; -0.0016725; 9.3346475; -2.3470523
346.7750665; 89656.5846818; 43133.1322873; 3.1373803; -0.0141593; 9.0798999; -2.2821139
347.7744183; 89656.5714230; 43132.1419019; 3.1168154; -0.0275943; 8.8251523; -0.2521656
348.7737701; 89656.5294954; 43131.1220670; 3.0819861; -0.0407973; 8.7965510; 0.0000000
349.7731218; 89656.4468173; 43130.1227713; 3.0334628; -0.0566160; 8.7965510; -9.1930517
350.7724736; 89656.3124028; 43129.1596191; 2.9692004; -0.0763779; 7.6814793; -1.2138392
